Date,DISTRICT,mean
2008-11,West Godavari,56.664945395648324
2008-12,Adilabad,0.5122401595912047
2008-12,Anantapur,1.161004614957734
2008-12,Chittoor,18.049770417152956
2008-12,Y.s.r.,9.36572709950491
2008-12,East Godavari,0.673290953487131
2008-12,Guntur,0.6828601104081186
2008-12,Hyderabad,0.6013723495322909
2008-12,Karimnagar,0.6327843417860927
2008-12,Khammam,0.025530899104976277
2008-12,Krishna,0.11097136575016496
2008-12,Kurnool,0.8441690881033281
2008-12,Mahbubnagar,0.536369430303805
2008-12,Medak,0.5591913194438176
2008-12,Nalgonda,0.01599957019398064
2008-12,Sri Potti Sriramulu Nellore,21.904554780578174
2008-12,Nizamabad,0.8446184074722217
2008-12,Prakasam,3.389610151401997
2008-12,Rangareddy,0.3502652695103605
2008-12,Srikakulam,0.0
2008-12,Visakhapatnam,0.7300759330450357
2008-12,Vizianagaram,0.026266582725639188
2008-12,Warangal,0.3150516366235019
2008-12,West Godavari,0.08939828928645133
2009-01,Adilabad,7.799999548618278
2009-01,Anantapur,0.18553193506264293
2009-01,Chittoor,9.973253554275663
2009-01,Y.s.r.,3.1360925880345856
2009-01,East Godavari,0.9394435602288886
2009-01,Guntur,0.00344207475691415
2009-01,Hyderabad,0.0
2009-01,Karimnagar,4.269447637850646
2009-01,Khammam,2.2677069125931526
2009-01,Krishna,0.0
2009-01,Kurnool,0.20858604784480794
2009-01,Mahbubnagar,0.07756790196146993
2009-01,Medak,1.6130517952859986
2009-01,Nalgonda,0.5354139270144033
2009-01,Sri Potti Sriramulu Nellore,5.772416304494419
2009-01,Nizamabad,7.439085965535003
2009-01,Prakasam,0.3062248930315465
2009-01,Rangareddy,0.0
2009-01,Srikakulam,1.7878305183347287
2009-01,Visakhapatnam,1.0909270978746628
2009-01,Vizianagaram,1.905282217981522
2009-01,Warangal,1.831739971080378
2009-01,West Godavari,0.10574245928951477
2009-02,Adilabad,5.296131048855241
2009-02,Anantapur,0.0
2009-02,Chittoor,0.039825676225376014
2009-02,Y.s.r.,0.0
2009-02,East Godavari,2.6761881333904416
2009-02,Guntur,0.09832438604188075
2009-02,Hyderabad,0.0
2009-02,Karimnagar,5.999308376592616
2009-02,Khammam,4.522338530566213
2009-02,Krishna,1.8566208261640809
2009-02,Kurnool,0.0
2009-02,Mahbubnagar,0.05342686918597034
2009-02,Medak,1.0074762733744305
2009-02,Nalgonda,2.5994317233459845
2009-02,Sri Potti Sriramulu Nellore,0.0
2009-02,Nizamabad,2.171364964386267
2009-02,Prakasam,0.0
2009-02,Rangareddy,0.07871614852938402
2009-02,Srikakulam,7.688042066605621
2009-02,Visakhapatnam,6.543487820773941
2009-02,Vizianagaram,8.146277762619222
2009-02,Warangal,6.5010506384361495
2009-02,West Godavari,2.7463024346597034
2009-03,Adilabad,9.568828667932735
2009-03,Anantapur,3.265639375307352
2009-03,Chittoor,8.616130824641019
2009-03,Y.s.r.,2.906870840035177
2009-03,East Godavari,5.750137649552196
2009-03,Guntur,2.125512342391655
2009-03,Hyderabad,5.577786627556513
2009-03,Karimnagar,5.793982585473676
2009-03,Khammam,2.916706733061128
2009-03,Krishna,4.208575275277495
2009-03,Kurnool,0.836537859469288
2009-03,Mahbubnagar,0.229823469375149
2009-03,Medak,5.072535641222829
2009-03,Nalgonda,2.070888511995244
2009-03,Sri Potti Sriramulu Nellore,3.5746575021896
2009-03,Nizamabad,4.774061632272608
2009-03,Prakasam,1.6760771245623935
2009-03,Rangareddy,2.105472192544479
2009-03,Srikakulam,18.72851571181685
2009-03,Visakhapatnam,12.037338236920148
2009-03,Vizianagaram,16.229111802729673
2009-03,Warangal,0.8432311992861807
2009-03,West Godavari,4.16428648164964
2009-04,Adilabad,8.817247034904097
2009-04,Anantapur,10.58912682879609
2009-04,Chittoor,16.41047436722139
2009-04,Y.s.r.,8.577714560494666
2009-04,East Godavari,10.286515009275684
2009-04,Guntur,4.494724807049411
2009-04,Hyderabad,13.723897368853915
2009-04,Karimnagar,10.264645429280286
2009-04,Khammam,7.698883851710606
2009-04,Krishna,1.4139721694886072
2009-04,Kurnool,11.894943008961917
2009-04,Mahbubnagar,12.705432009298168
2009-04,Medak,14.039575854047039
2009-04,Nalgonda,7.972231352679578
2009-04,Sri Potti Sriramulu Nellore,7.664696454265634
2009-04,Nizamabad,10.464234006135102
2009-04,Prakasam,9.96475185399966
2009-04,Rangareddy,14.511934518154323
2009-04,Srikakulam,12.056599873841845
2009-04,Visakhapatnam,23.06446262839465
2009-04,Vizianagaram,17.454876458240083
2009-04,Warangal,9.678384770993926
2009-04,West Godavari,1.5502037865332383
2009-05,Adilabad,21.24795976912187
2009-05,Anantapur,99.00027920653189
2009-05,Chittoor,92.2282229279882
2009-05,Y.s.r.,80.19173965174816
2009-05,East Godavari,70.05550463505597
2009-05,Guntur,101.04906529918719
